 RND , ADMIN , MKT , PROFIT ,
" $165,349.20 "," $136,897.80 "," $160,347.83 "," $192,261.83 ",
" $162,597.70 "," $151,377.59 "," $149,236.06 "," $191,792.06 ",
" $153,441.51 "," $101,145.55 "," $150,942.39 "," $191,050.39 ",
" $144,372.41 "," $118,671.85 "," $123,700.99 "," $182,901.99 ",
" $142,107.34 "," $91,391.77 "," $135,654.94 "," $166,187.94 ",
" $131,876.90 "," $99,814.71 "," $95,766.12 "," $156,991.12 ",
" $134,615.46 "," $147,198.87 "," $124,178.51 "," $156,122.51 ",
" $130,298.13 "," $145,530.06 "," $127,113.60 "," $155,752.60 ",
" $120,542.52 "," $148,718.95 "," $129,581.77 "," $152,211.77 ",
" $123,334.88 "," $108,679.17 "," $94,171.96 "," $149,759.96 ",
" $101,913.08 "," $110,594.11 "," $113,496.95 "," $146,121.95 ",
" $100,671.96 "," $91,790.61 "," $81,375.40 "," $144,259.40 ",
" $93,863.75 "," $127,320.38 "," $84,233.52 "," $141,585.52 ",
" $91,992.39 "," $135,495.07 "," $100,374.35 "," $134,307.35 ",
" $119,943.24 "," $156,547.42 "," $91,350.65 "," $132,602.65 ",
" $114,523.61 "," $122,616.84 "," $88,112.04 "," $129,917.04 ",
" $78,013.11 "," $121,597.55 "," $104,397.93 "," $126,992.93 ",
" $94,657.16 "," $145,077.58 "," $80,335.37 "," $125,370.37 ",
" $91,749.16 "," $114,175.79 "," $77,925.90 "," $124,266.90 ",
" $86,419.70 "," $153,514.11 "," $66,633.86 "," $122,776.86 ",
" $76,253.86 "," $113,867.30 "," $73,809.03 "," $118,474.03 ",
" $78,389.47 "," $153,773.43 "," $83,125.02 "," $111,313.02 ",
" $73,994.56 "," $122,782.75 "," $64,775.25 "," $110,352.25 ",
" $67,532.53 "," $105,751.03 "," $73,372.99 "," $108,733.99 ",
" $77,044.01 "," $99,281.34 "," $73,776.04 "," $108,552.04 ",
" $64,664.71 "," $139,553.16 "," $69,012.34 "," $107,404.34 ",
" $75,328.87 "," $144,135.98 "," $41,739.54 "," $105,733.54 ",
" $72,107.60 "," $127,864.55 "," $42,014.31 "," $105,008.31 ",
" $66,051.52 "," $182,645.56 "," $48,564.38 "," $103,282.38 ",
" $65,605.48 "," $153,032.06 "," $51,527.64 "," $101,004.64 ",
" $61,994.48 "," $115,641.28 "," $72,679.59 "," $99,937.59 ",
" $61,136.38 "," $152,701.92 "," $65,965.56 "," $97,483.56 ",
" $63,408.86 "," $129,219.61 "," $52,003.84 "," $97,427.84 ",
" $55,493.95 "," $103,057.49 "," $47,651.92 "," $96,778.92 ",
" $46,426.07 "," $157,693.92 "," $57,004.80 "," $96,712.80 ",
" $46,014.02 "," $85,047.44 "," $35,555.51 "," $96,479.51 ",
" $28,663.76 "," $127,056.21 "," $52,473.19 "," $90,708.19 ",
" $44,069.95 "," $51,283.14 "," $45,016.14 "," $89,949.14 ",
" $20,229.59 "," $65,947.93 "," $50,089.06 "," $81,229.06 ",
" $38,558.51 "," $82,982.09 "," $55,696.76 "," $81,005.76 ",
" $28,754.33 "," $118,546.05 "," $37,139.91 "," $78,239.91 ",
" $27,892.92 "," $84,710.77 "," $29,061.83 "," $77,798.83 ",
" $23,640.93 "," $96,189.63 "," $44,348.49 "," $71,498.49 ",
" $15,505.73 "," $127,382.30 "," $10,666.98 "," $69,758.98 ",
" $22,177.74 "," $154,806.14 "," $25,469.33 "," $65,200.33 ",
" $1,000.23 "," $124,153.04 "," $6,509.08 "," $64,926.08 ",
" $1,315.46 "," $115,816.21 "," $9,391.75 "," $49,490.75 ",
 $-   ," $135,426.92 ", $-   ," $42,559.73 ",
 $542.05 ," $51,743.15 ", $-   ," $35,673.41 ",
 $-   ," $116,983.80 ", $-   ," $14,681.40 ",
,,,,
